PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
5	0	20	9.0	1.0	6	[000005, 000000, 000002, 000004, 000001, 000007]
5	0	20	9.0	1.0	5	[000005, 000000, 000002, 000004, 000007]
5	0	20	10.0	1.0	7	[000005, 000000, 000006, 000003, 000004, 000001, 000007]
5	0	20	19.0	3.0	6	[000005, 000000, 000006, 000003, 000004, 000007]
5	0	20	54.0	1.0	4	[000005, 000001, 000004, 000007]
5	0	20	10.0	4.0	3	[000005, 000001, 000007]
5	0	20	8.0	1.0	5	[000005, 000003, 000004, 000001, 000007]
5	0	20	8.0	2.0	4	[000005, 000003, 000004, 000007]
5	0	20	8.0	1.0	8	[000005, 000003, 000006, 000000, 000002, 000004, 000001, 000007]
5	0	20	8.0	1.0	7	[000005, 000003, 000006, 000000, 000002, 000004, 000007]
5	0	20	31.0	4.0	2	[000005, 000007]
4	1	16	36.0	3.0	2	[001007, 001000]
4	1	16	28.0	2.0	4	[001007, 001001, 001002, 001000]
4	1	16	28.0	1.0	6	[001007, 001001, 001002, 001004, 001003, 001000]
4	1	16	28.0	1.0	7	[001007, 001001, 001002, 001004, 001003, 001005, 001000]
4	1	16	28.0	1.0	8	[001007, 001001, 001002, 001004, 001003, 001005, 001006, 001000]
4	1	16	28.0	1.0	7	[001007, 001001, 001002, 001004, 001003, 001006, 001000]
4	1	16	28.0	1.0	8	[001007, 001001, 001002, 001004, 001003, 001006, 001005, 001000]
4	1	16	28.0	2.0	6	[001007, 001001, 001002, 001004, 001005, 001000]
4	1	16	28.0	1.0	7	[001007, 001001, 001002, 001004, 001005, 001003, 001000]
4	1	16	28.0	1.0	8	[001007, 001001, 001002, 001004, 001005, 001003, 001006, 001000]
4	1	16	28.0	2.0	7	[001007, 001001, 001002, 001004, 001005, 001006, 001000]
4	1	16	28.0	2.0	8	[001007, 001001, 001002, 001004, 001005, 001006, 001003, 001000]
4	1	16	21.0	2.0	5	[001007, 001001, 001002, 001005, 001000]
4	1	16	21.0	1.0	6	[001007, 001001, 001002, 001005, 001003, 001000]
4	1	16	21.0	1.0	7	[001007, 001001, 001002, 001005, 001003, 001006, 001000]
4	1	16	21.0	1.0	7	[001007, 001001, 001002, 001005, 001004, 001003, 001000]
4	1	16	21.0	1.0	8	[001007, 001001, 001002, 001005, 001004, 001003, 001006, 001000]
4	1	16	21.0	2.0	6	[001007, 001001, 001002, 001005, 001006, 001000]
4	1	16	21.0	2.0	7	[001007, 001001, 001002, 001005, 001006, 001003, 001000]
4	1	16	33.0	2.0	5	[001007, 001001, 001002, 001006, 001000]
4	1	16	33.0	2.0	6	[001007, 001001, 001002, 001006, 001003, 001000]
4	1	16	29.0	1.0	8	[001007, 001001, 001002, 001006, 001003, 001004, 001005, 001000]
