PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
5	0	20	61.0	1.0	3	[000004, 000000, 000003]
5	0	20	31.0	2.0	4	[000004, 000002, 000001, 000003]
5	0	20	70.0	1.0	2	[000004, 000003]
4	1	16	19.0	4.0	3	[001003, 001000, 001002]
4	1	16	12.0	4.0	4	[001003, 001000, 001004, 001002]
4	1	16	32.0	1.0	3	[001003, 001001, 001002]
4	1	16	42.0	3.0	2	[001003, 001002]
15	2	17	75.0	1.0	3	[002000, 002001, 002002]
15	2	17	88.0	1.0	2	[002000, 002002]
15	2	17	47.0	4.0	3	[002000, 002003, 002002]
15	2	17	41.0	1.0	4	[002000, 002003, 002004, 002002]
15	2	17	36.0	1.0	3	[002000, 002004, 002002]
15	2	17	36.0	4.0	4	[002000, 002004, 002003, 002002]
4	3	5	70.0	1.0	2	[003003, 003000]
4	3	5	7.0	1.0	3	[003003, 003002, 003000]
4	3	5	7.0	1.0	4	[003003, 003002, 003001, 003000]
4	3	5	7.0	1.0	5	[003003, 003002, 003001, 003004, 003000]
4	3	5	7.0	1.0	4	[003003, 003002, 003004, 003000]
4	3	5	7.0	1.0	5	[003003, 003002, 003004, 003001, 003000]
4	3	5	11.0	1.0	3	[003003, 003004, 003000]
4	3	5	11.0	1.0	4	[003003, 003004, 003001, 003000]
4	3	5	24.0	1.0	5	[003003, 003004, 003001, 003002, 003000]
4	3	5	24.0	1.0	4	[003003, 003004, 003002, 003000]
4	3	5	11.0	1.0	5	[003003, 003004, 003002, 003001, 003000]
4	3	10	11.0	1.0	3	[003003, 003000, 003001]
4	3	10	24.0	1.0	4	[003003, 003000, 003002, 003001]
4	3	10	24.0	1.0	5	[003003, 003000, 003002, 003004, 003001]
4	3	10	11.0	1.0	4	[003003, 003000, 003004, 003001]
4	3	10	11.0	1.0	5	[003003, 003000, 003004, 003002, 003001]
4	3	10	7.0	1.0	4	[003003, 003002, 003000, 003001]
4	3	10	7.0	1.0	5	[003003, 003002, 003000, 003004, 003001]
4	3	10	7.0	1.0	3	[003003, 003002, 003001]
4	3	10	7.0	1.0	5	[003003, 003002, 003004, 003000, 003001]
4	3	10	7.0	1.0	4	[003003, 003002, 003004, 003001]
4	3	10	11.0	1.0	4	[003003, 003004, 003000, 003001]
4	3	10	11.0	1.0	5	[003003, 003004, 003000, 003002, 003001]
4	3	10	55.0	1.0	3	[003003, 003004, 003001]
4	3	10	11.0	1.0	5	[003003, 003004, 003002, 003000, 003001]
4	3	10	26.0	1.0	4	[003003, 003004, 003002, 003001]
4	3	18	11.0	1.0	5	[003003, 003000, 003001, 003002, 003004]
4	3	18	11.0	1.0	4	[003003, 003000, 003001, 003004]
4	3	18	24.0	1.0	5	[003003, 003000, 003002, 003001, 003004]
4	3	18	24.0	1.0	4	[003003, 003000, 003002, 003004]
4	3	18	11.0	1.0	3	[003003, 003000, 003004]
4	3	18	7.0	1.0	5	[003003, 003002, 003000, 003001, 003004]
