PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
5	0	20	14.0	3.0	4	[000007, 000000, 000001, 000002]
5	0	20	14.0	1.0	6	[000007, 000000, 000001, 000004, 000003, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000001, 000004, 000003, 000005, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000001, 000004, 000003, 000005, 000008, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000001, 000004, 000005, 000003, 000002]
5	0	20	7.0	2.0	7	[000007, 000000, 000001, 000004, 000005, 000008, 000002]
5	0	20	14.0	2.0	8	[000007, 000000, 000001, 000004, 000005, 000008, 000006, 000002]
5	0	20	14.0	2.0	6	[000007, 000000, 000001, 000004, 000006, 000002]
5	0	20	7.0	2.0	7	[000007, 000000, 000001, 000004, 000006, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000001, 000004, 000006, 000008, 000005, 000003, 000002]
5	0	20	7.0	2.0	6	[000007, 000000, 000001, 000004, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000001, 000004, 000008, 000005, 000003, 000002]
5	0	20	14.0	2.0	7	[000007, 000000, 000001, 000004, 000008, 000006, 000002]
5	0	20	14.0	1.0	6	[000007, 000000, 000001, 000005, 000003, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000001, 000005, 000003, 000004, 000006, 000002]
5	0	20	7.0	1.0	9	[000007, 000000, 000001, 000005, 000003, 000004, 000006, 000008, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000001, 000005, 000003, 000004, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000001, 000005, 000003, 000004, 000008, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000001, 000005, 000004, 000003, 000002]
5	0	20	14.0	3.0	7	[000007, 000000, 000001, 000005, 000004, 000006, 000002]
5	0	20	7.0	2.0	8	[000007, 000000, 000001, 000005, 000004, 000006, 000008, 000002]
5	0	20	7.0	2.0	7	[000007, 000000, 000001, 000005, 000004, 000008, 000002]
5	0	20	14.0	2.0	8	[000007, 000000, 000001, 000005, 000004, 000008, 000006, 000002]
5	0	20	7.0	2.0	6	[000007, 000000, 000001, 000005, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000001, 000005, 000008, 000004, 000003, 000002]
5	0	20	14.0	2.0	8	[000007, 000000, 000001, 000005, 000008, 000004, 000006, 000002]
5	0	20	14.0	2.0	7	[000007, 000000, 000001, 000005, 000008, 000006, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000001, 000005, 000008, 000006, 000004, 000003, 000002]
5	0	20	7.0	3.0	5	[000007, 000000, 000001, 000008, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000001, 000008, 000004, 000003, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000001, 000008, 000004, 000005, 000003, 000002]
5	0	20	14.0	2.0	7	[000007, 000000, 000001, 000008, 000004, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000001, 000008, 000005, 000003, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000001, 000008, 000005, 000003, 000004, 000006, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000001, 000008, 000005, 000004, 000003, 000002]
5	0	20	14.0	2.0	8	[000007, 000000, 000001, 000008, 000005, 000004, 000006, 000002]
5	0	20	14.0	2.0	6	[000007, 000000, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000001, 000008, 000006, 000004, 000003, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000001, 000008, 000006, 000004, 000005, 000003, 000002]
5	0	20	14.0	3.0	4	[000007, 000000, 000003, 000002]
5	0	20	14.0	1.0	6	[000007, 000000, 000003, 000004, 000001, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000003, 000004, 000001, 000005, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000004, 000001, 000005, 000008, 000006, 000002]
5	0	20	7.0	1.0	7	[000007, 000000, 000003, 000004, 000001, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000004, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000003, 000004, 000005, 000001, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000003, 000004, 000005, 000001, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000004, 000005, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000004, 000005, 000008, 000001, 000002]
5	0	20	7.0	1.0	7	[000007, 000000, 000003, 000004, 000005, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000004, 000005, 000008, 000006, 000002]
5	0	20	14.0	1.0	6	[000007, 000000, 000003, 000004, 000006, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000004, 000006, 000008, 000001, 000002]
5	0	20	7.0	1.0	7	[000007, 000000, 000003, 000004, 000006, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000004, 000006, 000008, 000005, 000001, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000003, 000004, 000008, 000001, 000002]
5	0	20	7.0	1.0	6	[000007, 000000, 000003, 000004, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000004, 000008, 000005, 000001, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000003, 000004, 000008, 000006, 000002]
5	0	20	14.0	1.0	6	[000007, 000000, 000003, 000005, 000001, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000005, 000001, 000004, 000006, 000002]
5	0	20	7.0	1.0	9	[000007, 000000, 000003, 000005, 000001, 000004, 000006, 000008, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000003, 000005, 000001, 000004, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000005, 000001, 000004, 000008, 000006, 000002]
5	0	20	7.0	1.0	7	[000007, 000000, 000003, 000005, 000001, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000005, 000001, 000008, 000004, 000006, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000005, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000003, 000005, 000004, 000001, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000003, 000005, 000004, 000001, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000005, 000004, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000003, 000005, 000004, 000006, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000005, 000004, 000006, 000008, 000001, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000003, 000005, 000004, 000006, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000005, 000004, 000008, 000001, 000002]
5	0	20	7.0	1.0	7	[000007, 000000, 000003, 000005, 000004, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000005, 000004, 000008, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000003, 000005, 000008, 000001, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000005, 000008, 000001, 000004, 000006, 000002]
5	0	20	7.0	1.0	6	[000007, 000000, 000003, 000005, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000005, 000008, 000004, 000001, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000003, 000005, 000008, 000004, 000006, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000003, 000005, 000008, 000006, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000003, 000005, 000008, 000006, 000004, 000001, 000002]
5	0	20	14.0	2.0	5	[000007, 000000, 000004, 000001, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000004, 000001, 000005, 000003, 000002]
5	0	20	7.0	2.0	7	[000007, 000000, 000004, 000001, 000005, 000008, 000002]
5	0	20	14.0	2.0	8	[000007, 000000, 000004, 000001, 000005, 000008, 000006, 000002]
5	0	20	7.0	2.0	6	[000007, 000000, 000004, 000001, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000004, 000001, 000008, 000005, 000003, 000002]
5	0	20	14.0	2.0	7	[000007, 000000, 000004, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	5	[000007, 000000, 000004, 000003, 000002]
5	0	20	14.0	1.0	7	[000007, 000000, 000004, 000003, 000005, 000001, 000002]
5	0	20	7.0	1.0	8	[000007, 000000, 000004, 000003, 000005, 000001, 000008, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000004, 000003, 000005, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000004, 000003, 000005, 000008, 000001, 000002]
5	0	20	7.0	1.0	7	[000007, 000000, 000004, 000003, 000005, 000008, 000002]
5	0	20	14.0	1.0	8	[000007, 000000, 000004, 000003, 000005, 000008, 000006, 000002]
5	0	20	14.0	2.0	6	[000007, 000000, 000004, 000005, 000001, 000002]
5	0	20	7.0	2.0	7	[000007, 000000, 000004, 000005, 000001, 000008, 000002]
5	0	20	14.0	2.0	8	[000007, 000000, 000004, 000005, 000001, 000008, 000006, 000002]
5	0	20	14.0	1.0	6	[000007, 000000, 000004, 000005, 000003, 000002]
5	0	20	14.0	2.0	7	[000007, 000000, 000004, 000005, 000008, 000001, 000002]
5	0	20	7.0	2.0	6	[000007, 000000, 000004, 000005, 000008, 000002]
5	0	20	14.0	2.0	7	[000007, 000000, 000004, 000005, 000008, 000006, 000002]
5	0	20	14.0	2.0	5	[000007, 000000, 000004, 000006, 000002]
5	0	20	14.0	2.0	7	[000007, 000000, 000004, 000006, 000008, 000001, 000002]
5	0	20	14.0	1.0	9	[000007, 000000, 000004, 000006, 000008, 000001, 000005, 000003, 000002]
5	0	20	7.0	2.0	6	[000007, 000000, 000004, 000006, 000008, 000002]
