PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
5	0	20	6.0	2.0	5	[000003, 000002, 000001, 000000, 000005]
5	0	20	6.0	1.0	4	[000003, 000002, 000001, 000005]
5	0	20	64.0	4.0	3	[000003, 000002, 000005]
5	0	20	20.0	1.0	5	[000003, 000004, 000001, 000000, 000005]
5	0	20	6.0	1.0	5	[000003, 000004, 000001, 000002, 000005]
5	0	20	20.0	1.0	4	[000003, 000004, 000001, 000005]
5	0	20	27.0	3.0	2	[000003, 000005]
4	1	16	35.0	1.0	3	[001000, 001001, 001003]
4	1	16	9.0	1.0	6	[001000, 001001, 001004, 001002, 001005, 001003]
4	1	16	9.0	1.0	4	[001000, 001001, 001004, 001003]
4	1	16	9.0	1.0	5	[001000, 001001, 001004, 001005, 001003]
4	1	16	16.0	1.0	6	[001000, 001001, 001005, 001002, 001004, 001003]
4	1	16	36.0	1.0	4	[001000, 001001, 001005, 001003]
4	1	16	16.0	1.0	5	[001000, 001001, 001005, 001004, 001003]
4	1	16	7.0	1.0	2	[001000, 001003]
4	1	16	9.0	1.0	4	[001000, 001004, 001001, 001003]
4	1	16	9.0	1.0	5	[001000, 001004, 001001, 001005, 001003]
4	1	16	35.0	2.0	6	[001000, 001004, 001002, 001005, 001001, 001003]
4	1	16	36.0	2.0	5	[001000, 001004, 001002, 001005, 001003]
4	1	16	16.0	3.0	3	[001000, 001004, 001003]
4	1	16	31.0	1.0	5	[001000, 001004, 001005, 001001, 001003]
4	1	16	31.0	1.0	4	[001000, 001004, 001005, 001003]
4	1	16	35.0	2.0	4	[001000, 001005, 001001, 001003]
4	1	16	9.0	1.0	5	[001000, 001005, 001001, 001004, 001003]
4	1	16	9.0	1.0	6	[001000, 001005, 001002, 001004, 001001, 001003]
4	1	16	16.0	3.0	5	[001000, 001005, 001002, 001004, 001003]
4	1	16	36.0	2.0	3	[001000, 001005, 001003]
4	1	16	9.0	1.0	5	[001000, 001005, 001004, 001001, 001003]
4	1	16	16.0	1.0	4	[001000, 001005, 001004, 001003]
15	2	17	6.0	4.0	2	[002000, 002002]
15	2	17	76.0	2.0	4	[002000, 002003, 002001, 002002]
15	2	17	6.0	1.0	6	[002000, 002003, 002001, 002005, 002004, 002002]
15	2	17	48.0	2.0	3	[002000, 002003, 002002]
15	2	17	15.0	1.0	4	[002000, 002005, 002001, 002002]
15	2	17	15.0	1.0	5	[002000, 002005, 002001, 002003, 002002]
15	2	17	6.0	1.0	4	[002000, 002005, 002004, 002002]
4	3	5	19.0	1.0	4	[003002, 003000, 003001, 003004]
4	3	5	6.0	1.0	4	[003002, 003000, 003003, 003004]
4	3	5	21.0	2.0	3	[003002, 003000, 003004]
4	3	5	6.0	1.0	5	[003002, 003000, 003005, 003003, 003004]
4	3	5	19.0	1.0	5	[003002, 003003, 003000, 003001, 003004]
4	3	5	21.0	2.0	4	[003002, 003003, 003000, 003004]
4	3	5	6.0	1.0	3	[003002, 003003, 003004]
4	3	5	19.0	1.0	6	[003002, 003003, 003005, 003000, 003001, 003004]
4	3	5	21.0	2.0	5	[003002, 003003, 003005, 003000, 003004]
4	3	5	19.0	1.0	5	[003002, 003005, 003000, 003001, 003004]
4	3	5	6.0	1.0	5	[003002, 003005, 003000, 003003, 003004]
4	3	5	21.0	2.0	4	[003002, 003005, 003000, 003004]
4	3	5	19.0	1.0	6	[003002, 003005, 003003, 003000, 003001, 003004]
4	3	5	21.0	2.0	5	[003002, 003005, 003003, 003000, 003004]
4	3	5	6.0	1.0	4	[003002, 003005, 003003, 003004]
4	3	10	36.0	5.0	3	[003002, 003000, 003001]
4	3	10	6.0	1.0	5	[003002, 003000, 003003, 003004, 003001]
4	3	10	19.0	1.0	4	[003002, 003000, 003004, 003001]
4	3	10	6.0	1.0	6	[003002, 003000, 003005, 003003, 003004, 003001]
4	3	10	34.0	4.0	4	[003002, 003003, 003000, 003001]
4	3	10	19.0	1.0	5	[003002, 003003, 003000, 003004, 003001]
4	3	10	6.0	1.0	5	[003002, 003003, 003004, 003000, 003001]
4	3	10	6.0	1.0	4	[003002, 003003, 003004, 003001]
4	3	10	51.0	2.0	5	[003002, 003003, 003005, 003000, 003001]
4	3	10	19.0	1.0	6	[003002, 003003, 003005, 003000, 003004, 003001]
4	3	10	33.0	2.0	4	[003002, 003005, 003000, 003001]
4	3	10	6.0	1.0	6	[003002, 003005, 003000, 003003, 003004, 003001]
4	3	10	19.0	1.0	5	[003002, 003005, 003000, 003004, 003001]
4	3	10	33.0	3.0	5	[003002, 003005, 003003, 003000, 003001]
4	3	10	19.0	1.0	6	[003002, 003005, 003003, 003000, 003004, 003001]
4	3	10	6.0	1.0	6	[003002, 003005, 003003, 003004, 003000, 003001]
4	3	10	6.0	1.0	5	[003002, 003005, 003003, 003004, 003001]
4	3	18	36.0	5.0	2	[003002, 003000]
4	3	18	34.0	4.0	3	[003002, 003003, 003000]
4	3	18	6.0	1.0	4	[003002, 003003, 003004, 003000]
4	3	18	6.0	1.0	5	[003002, 003003, 003004, 003001, 003000]
4	3	18	66.0	2.0	4	[003002, 003003, 003005, 003000]
4	3	18	33.0	2.0	3	[003002, 003005, 003000]
4	3	18	33.0	3.0	4	[003002, 003005, 003003, 003000]
4	3	18	6.0	1.0	5	[003002, 003005, 003003, 003004, 003000]
4	3	18	6.0	1.0	6	[003002, 003005, 003003, 003004, 003001, 003000]
4	3	21	6.0	1.0	5	[003002, 003000, 003001, 003004, 003003]
4	3	21	34.0	4.0	3	[003002, 003000, 003003]
4	3	21	6.0	1.0	4	[003002, 003000, 003004, 003003]
4	3	21	36.0	2.0	4	[003002, 003000, 003005, 003003]
4	3	21	76.0	5.0	2	[003002, 003003]
4	3	21	6.0	1.0	6	[003002, 003005, 003000, 003001, 003004, 003003]
4	3	21	33.0	2.0	4	[003002, 003005, 003000, 003003]
4	3	21	6.0	1.0	5	[003002, 003005, 003000, 003004, 003003]
4	3	21	33.0	3.0	3	[003002, 003005, 003003]
