Num of Nodes	BW	Delay	Num of Hops	Path	Execution Time (seconds)
5	25	11.0	9	[5, 9, 7, 4, 10]	0.0017702579498291016
5	1	8.0	8	[6, 10, 4, 7]	0.0009319782257080078
5	5	8.0	8	[6, 10, 4, 7]	0.0012476444244384766
5	10	25.0	19	[6, 3, 2, 12, 0, 11, 13, 0, 9, 7]	0.003280162811279297
5	15	5.0	8	[6, 10, 4, 7]	0.0012466907501220703
5	20	5.0	8	[6, 10, 4, 7]	0.0008707046508789062
5	25	5.0	8	[6, 10, 4, 7]	0.001741647720336914
5	1	38.0	25	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.004871368408203125
5	5	38.0	25	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.0035822391510009766
5	10	35.0	25	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.004212856292724609
5	15	31.0	26	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.004041910171508789
5	20	31.0	26	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.006234407424926758
5	25	31.0	27	[11, 0, 12, 2, 3, 6, 10, 4, 7, 9, 5, 8]	0.006690263748168945
5	1	18.0	14	[13, 0, 11, 12, 2, 3, 6]	0.003492593765258789
5	5	18.0	14	[13, 0, 11, 12, 2, 3, 6]	0.0035979747772216797
5	10	18.0	14	[13, 0, 11, 12, 2, 3, 6]	0.004246950149536133
5	15	14.0	15	[13, 0, 11, 12, 2, 3, 6]	0.0042667388916015625
5	20	14.0	15	[13, 0, 11, 12, 2, 3, 6]	0.003220796585083008
5	25	14.0	16	[13, 0, 11, 12, 2, 3, 6]	0.004122495651245117
5	1	40.0	26	[1, 2, 12, 0, 11, 13, 11, 0, 9, 7, 4, 10, 6]	0.0042264461517333984
5	5	10.0	7	[1, 2, 3, 6]	0.0016705989837646484
5	10	10.0	7	[1, 2, 3, 6]	0.00145721435546875
5	15	6.0	8	[1, 2, 3, 6]	0.0012593269348144531
5	20	6.0	8	[1, 2, 3, 6]	0.001268625259399414
5	25	6.0	9	[1, 2, 3, 6]	0.0011322498321533203
5	1	32.0	23	[9, 7, 4, 10, 6, 3, 2, 12, 0, 13, 11]	0.003072023391723633
5	5	26.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.003419160842895508
5	10	23.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.0038390159606933594
5	15	23.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.005525112152099609
5	20	23.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.004903078079223633
5	25	21.0	21	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11]	0.004269838333129883
5	1	17.0	8	[11, 0, 12, 2, 3]	0.002024412155151367
5	5	17.0	8	[11, 0, 12, 2, 3]	0.002058744430541992
5	10	17.0	8	[11, 0, 12, 2, 3]	0.002262592315673828
5	15	13.0	9	[11, 0, 12, 2, 3]	0.00215911865234375
5	20	13.0	9	[11, 0, 12, 2, 3]	0.0022051334381103516
5	25	13.0	10	[11, 0, 12, 2, 3]	0.0020592212677001953
5	1	22.0	14	[4, 7, 9, 5, 8, 1, 2]	0.0035479068756103516
5	5	22.0	14	[4, 7, 9, 5, 8, 1, 2]	0.002561807632446289
5	10	19.0	14	[4, 7, 9, 5, 8, 1, 2]	0.002796649932861328
5	15	19.0	14	[4, 7, 9, 5, 8, 1, 2]	0.0029463768005371094
5	20	20.0	15	[4, 7, 9, 5, 8, 1, 2]	0.004010677337646484
5	25	20.0	15	[4, 7, 9, 5, 8, 1, 2]	0.0026755332946777344
5	1	41.0	33	[4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 7, 9, 0, 11]	0.006158113479614258
5	5	45.0	35	[4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 10, 4, 7, 9]	0.005282402038574219
5	10	37.0	34	[4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 7, 4, 7, 9]	0.00545191764831543
5	15	32.0	36	[4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 10, 4, 7, 4]	0.006327152252197266
5	20	33.0	36	[4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 6, 3, 6, 10, 4]	0.008146524429321289
5	25	33.0	38	[4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 7, 4, 10, 6]	0.004361391067504883
6	1	12.0	8	[6, 10, 4, 7, 9]	0.005462169647216797
6	5	12.0	8	[6, 10, 4, 7, 9]	0.0028121471405029297
6	10	12.0	8	[6, 10, 4, 7, 9]	0.0029478073120117188
6	15	12.0	8	[6, 10, 4, 7, 9]	0.0030465126037597656
6	20	12.0	8	[6, 10, 4, 7, 9]	0.0023119449615478516
6	25	12.0	8	[6, 10, 4, 7, 9]	0.0024700164794921875
6	1	15.0	12	[12, 2, 3, 6, 10, 4, 7]	0.0054242610931396484
6	5	15.0	12	[12, 2, 3, 6, 10, 4, 7]	0.0030150413513183594
6	10	15.0	12	[12, 2, 3, 6, 10, 4, 7]	0.0033054351806640625
6	15	12.0	14	[12, 2, 3, 6, 10, 4, 7]	0.003251314163208008
6	20	12.0	14	[12, 2, 3, 6, 10, 4, 7]	0.003144502639770508
6	25	10009.0	10009	[12, 2, 3, 6, 10, 4, 7]	0.0027654170989990234
6	1	13.0	10	[1, 2, 3, 6, 10, 4]	0.002669095993041992
6	5	13.0	10	[1, 2, 3, 6, 10, 4]	0.0027680397033691406
6	10	10.0	12	[1, 2, 3, 6, 10, 4]	0.0026383399963378906
6	15	10.0	12	[1, 2, 3, 6, 10, 4]	0.003090381622314453
6	20	20024.0	20019	[1, 2, 12, 0, 11, 13, 11, 12, 0, 9, 7, 4]	0.0037212371826171875
6	25	10008.0	10007	[1, 2, 3, 6, 10, 4]	0.002573728561401367
6	1	26.0	18	[7, 9, 0, 11, 12, 2, 3, 6, 10, 4]	0.0038979053497314453
6	5	24.0	19	[7, 9, 5, 8, 1, 2, 3, 6, 10, 4]	0.005507707595825195
6	10	21.0	21	[7, 9, 5, 8, 1, 2, 3, 6, 10, 4]	0.003625154495239258
6	15	21.0	21	[7, 9, 5, 8, 1, 2, 3, 6, 10, 4]	0.005243778228759766
6	20	10019.0	10016	[7, 9, 5, 8, 1, 2, 3, 6, 10, 4]	0.0037093162536621094
6	25	10019.0	10016	[7, 9, 5, 8, 1, 2, 3, 6, 10, 4]	0.004410982131958008
6	1	42.0	30	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13, 0, 11, 13, 0]	0.00540924072265625
6	5	43.0	29	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13, 11, 0, 12, 0]	0.0066585540771484375
6	10	37.0	27	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13, 0, 9, 5]	0.0062944889068603516
6	15	10032.0	10027	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13, 11, 0, 9, 5]	0.005248546600341797
6	20	10033.0	10028	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13, 0, 11, 12, 0]	0.005301237106323242
6	25	20031.0	20024	[9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13, 11, 0, 13, 11]	0.004813194274902344
6	1	37.0	28	[3, 2, 9, 7, 4, 10, 6, 10, 6, 3, 6, 10, 6, 3, 2]	0.002796173095703125
6	5	37.0	29	[3, 2, 12, 0, 11, 13, 0, 9, 7, 4, 10, 6, 10, 4, 7]	0.005860328674316406
6	10	25.0	19	[3, 2, 12, 0, 11, 13, 11, 0, 9, 5]	0.004651546478271484
6	15	10033.0	10027	[3, 2, 12, 0, 11, 13, 0, 9, 7, 4, 10, 6, 3, 6, 3]	0.006511688232421875
6	20	10032.0	10028	[3, 2, 12, 0, 11, 13, 11, 12, 11, 12, 0, 9, 7, 4, 10]	0.005369424819946289
6	25	20029.0	20024	[3, 2, 12, 0, 13, 11, 13, 0, 9, 7, 4, 10, 6, 10, 4]	0.0053288936614990234
6	1	24.0	19	[6, 10, 4, 7, 9, 5, 8, 1, 2, 3]	0.004683732986450195
6	5	24.0	19	[6, 10, 4, 7, 9, 5, 8, 1, 2, 3]	0.004407405853271484
6	10	21.0	21	[6, 10, 4, 7, 9, 5, 8, 1, 2, 3]	0.004410982131958008
6	15	21.0	21	[6, 10, 4, 7, 9, 5, 8, 1, 2, 3]	0.004452943801879883
6	20	10019.0	10016	[6, 10, 4, 7, 9, 5, 8, 1, 2, 3]	0.004687786102294922
6	25	10019.0	10016	[6, 10, 4, 7, 9, 5, 8, 1, 2, 3]	0.005680084228515625
6	1	16.0	10	[13, 0, 11, 12, 2, 3]	0.002392292022705078
6	5	16.0	10	[13, 0, 11, 12, 2, 3]	0.0022742748260498047
6	10	16.0	10	[13, 0, 11, 12, 2, 3]	0.0017709732055664062
6	15	10007.0	10009	[13, 0, 11, 12, 2, 3]	0.003015756607055664
6	20	10007.0	10009	[13, 0, 11, 12, 2, 3]	0.002415895462036133
6	25	20004.0	20004	[13, 0, 11, 12, 2, 3]	0.001998424530029297
6	1	14.0	13	[8, 5, 9, 7, 4, 10, 6]	0.003509521484375
6	5	10.0	8	[8, 1, 2, 3, 6]	0.0016410350799560547
6	10	10.0	11	[8, 5, 9, 2, 3, 6]	0.001955747604370117
6	15	14.0	13	[8, 5, 9, 7, 4, 10, 6]	0.002971649169921875
6	20	14.0	13	[8, 5, 9, 7, 4, 10, 6]	0.0028047561645507812
6	25	14.0	13	[8, 5, 9, 7, 4, 10, 6]	0.003335714340209961
6	1	9.0	6	[0, 11, 12, 2]	0.0018739700317382812
6	5	9.0	6	[0, 11, 12, 2]	0.0022864341735839844
6	10	9.0	6	[0, 11, 12, 2]	0.001645803451538086
6	15	6.0	8	[0, 11, 12, 2]	0.001733541488647461
6	20	6.0	8	[0, 11, 12, 2]	0.0016736984252929688
6	25	10003.0	10003	[0, 11, 12, 2]	0.001649618148803711
6	1	35.0	29	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 7, 9, 0]	0.0052509307861328125
6	5	36.0	27	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 3, 2, 12, 0]	0.0047991275787353516
6	10	26.0	31	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 10, 4, 7]	0.003933429718017578
6	15	30.0	31	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 10, 4, 7, 4, 7]	0.0064144134521484375
6	20	15.0	11	[10, 6, 3, 2, 12, 0]	0.0019588470458984375
6	25	10032.0	10026	[10, 4, 7, 9, 5, 8, 1, 2, 3, 6, 3, 6, 3, 6, 10]	0.004388570785522461
6	1	1.0	3	[5, 9]	0.0007638931274414062
6	5	1.0	3	[5, 9]	0.0006182193756103516
6	10	1.0	3	[5, 9]	0.0006740093231201172
6	15	1.0	3	[5, 9]	0.0005931854248046875
6	20	1.0	3	[5, 9]	0.0007703304290771484
6	25	1.0	3	[5, 9]	0.0012676715850830078
6	1	19.0	15	[8, 5, 9, 7, 4, 10, 6, 3]	0.0041391849517822266
6	5	19.0	15	[8, 5, 9, 7, 4, 10, 6, 3]	0.003969430923461914
6	10	19.0	15	[8, 5, 9, 7, 4, 10, 6, 3]	0.0042307376861572266
6	15	19.0	15	[8, 5, 9, 7, 4, 10, 6, 3]	0.0033473968505859375
6	20	19.0	15	[8, 5, 9, 7, 4, 10, 6, 3]	0.004105091094970703
6	25	19.0	15	[8, 5, 9, 7, 4, 10, 6, 3]	0.003731966018676758
6	1	30.0	24	[5, 9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13]	0.005961418151855469
6	5	30.0	24	[5, 9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13]	0.006445646286010742
6	10	30.0	24	[5, 9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13]	0.004384279251098633
6	15	28.0	25	[5, 9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13]	0.005835056304931641
6	20	28.0	25	[5, 9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13]	0.005002021789550781
6	25	28.0	25	[5, 9, 7, 4, 10, 6, 3, 2, 12, 0, 11, 13]	0.005063533782958984
6	1	31.0	22	[13, 0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.0041942596435546875
6	5	31.0	22	[13, 0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.005077838897705078
6	10	31.0	22	[13, 0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.0040285587310791016
6	15	10022.0	10021	[13, 0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.005003452301025391
6	20	10022.0	10021	[13, 0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.005592823028564453
6	25	20019.0	20016	[13, 0, 11, 12, 2, 3, 6, 10, 4, 7, 9, 5]	0.005455493927001953
6	1	1.0	3	[5, 9]	0.0005245208740234375
6	5	1.0	3	[5, 9]	0.0007464885711669922
6	10	1.0	3	[5, 9]	0.0005087852478027344
6	15	1.0	3	[5, 9]	0.000492095947265625
6	20	1.0	3	[5, 9]	0.0006062984466552734
