Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
5	10	52	[18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19, 12, 21, 12, 23]	0.009584903717041016
5	15	54	[18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 17, 2, 15, 12, 21, 3, 5, 0, 20, 13, 6, 7, 6, 7, 18]	0.0104217529296875
5	20	55	[18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19, 12, 21, 3, 5, 0]	0.008791923522949219
5	25	53	[18, 3, 4, 1, 16, 10, 15, 2, 17, 9, 17, 9, 17, 2, 15, 12, 19, 14, 22, 5, 0, 20, 13, 6, 7]	0.009340763092041016
5	1	26	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15]	0.0076580047607421875
5	5	26	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15]	0.005507946014404297
5	10	26	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15]	0.008877754211425781
5	15	26	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15]	0.0051767826080322266
5	20	26	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15]	0.008229255676269531
5	25	26	[5, 0, 20, 13, 6, 7, 18, 3, 4, 1, 16, 10, 15]	0.006852149963378906
5	1	22	[3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7]	0.007008075714111328
5	5	22	[3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7]	0.0039517879486083984
5	10	22	[3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7]	0.006158351898193359
5	15	23	[3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7]	0.006011247634887695
5	20	12	[3, 5, 0, 20, 13, 6, 7]	0.002330780029296875
5	25	23	[3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7]	0.004688262939453125
5	1	40	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14]	0.011304855346679688
5	5	40	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14]	0.007090330123901367
5	10	45	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 8, 22, 14]	0.01126551628112793
5	15	41	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14]	0.00925755500793457
5	20	44	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 11, 23, 12, 19, 14]	0.005948781967163086
5	25	10037	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14]	0.008210182189941406
5	1	43	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.009624719619750977
5	5	43	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.007451057434082031
5	10	34	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 11, 23, 12, 21]	0.007230281829833984
5	15	10040	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.007138490676879883
5	20	9	[17, 2, 15, 12, 21]	0.0013892650604248047
5	25	10040	[17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21]	0.008686065673828125
5	1	14	[12, 21, 3, 4, 1, 16, 10]	0.002603292465209961
5	5	14	[12, 21, 3, 4, 1, 16, 10]	0.0037736892700195312
5	10	14	[12, 21, 3, 4, 1, 16, 10]	0.002437591552734375
5	15	14	[12, 21, 3, 4, 1, 16, 10]	0.002658843994140625
5	20	14	[12, 21, 3, 4, 1, 16, 10]	0.003561735153198242
5	25	10010	[12, 21, 3, 4, 1, 16, 10]	0.0029304027557373047
5	1	43	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19]	0.007853269577026367
5	5	43	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19]	0.007994651794433594
5	10	43	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19]	0.007936239242553711
5	15	44	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19]	0.0074694156646728516
5	20	44	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19]	0.00866842269897461
5	25	10040	[21, 3, 4, 1, 16, 10, 15, 2, 17, 9, 18, 7, 6, 13, 20, 0, 5, 22, 14, 19]	0.009846210479736328
5	1	12	[21, 3, 4, 1, 16, 10]	0.0030558109283447266
5	5	12	[21, 3, 4, 1, 16, 10]	0.002228260040283203
5	10	12	[21, 3, 4, 1, 16, 10]	0.002193927764892578
5	15	10047	[21, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 19, 14, 19, 12, 15, 10]	0.009456634521484375
5	20	12	[21, 3, 4, 1, 16, 10]	0.0034449100494384766
5	25	10008	[21, 3, 4, 1, 16, 10]	0.0037572383880615234
5	1	23	[23, 11, 20, 13, 6, 7, 18, 3, 4, 1, 16]	0.00435948371887207
5	5	18	[23, 11, 20, 0, 5, 3, 4, 1, 16]	0.005147218704223633
5	10	18	[23, 11, 20, 0, 5, 3, 4, 1, 16]	0.0038957595825195312
5	15	41	[23, 11, 20, 0, 5, 3, 18, 7, 6, 13, 20, 11, 23, 12, 21, 3, 4, 1, 16]	0.006931781768798828
5	20	18	[23, 11, 20, 0, 5, 3, 4, 1, 16]	0.0031120777130126953
5	25	20020	[23, 11, 20, 0, 5, 3, 21, 12, 19, 14, 22, 8, 16]	0.003843069076538086
5	1	9	[10, 3, 4, 1, 16]	0.0018444061279296875
5	5	9	[10, 3, 4, 1, 16]	0.002940654754638672
5	10	9	[10, 3, 4, 1, 16]	0.001954317092895508
5	15	9	[10, 3, 4, 1, 16]	0.0013256072998046875
5	20	35	[10, 3, 5, 0, 20, 13, 6, 7, 18, 11, 23, 12, 21, 3, 4, 1, 16]	0.007475614547729492
5	25	9	[10, 3, 4, 1, 16]	0.001806020736694336
5	1	17	[20, 0, 5, 3, 4, 1, 16, 10, 15]	0.0029273033142089844
5	5	17	[20, 0, 5, 3, 4, 1, 16, 10, 15]	0.004041433334350586
5	10	17	[20, 0, 5, 3, 4, 1, 16, 10, 15]	0.003729104995727539
5	15	17	[20, 0, 5, 3, 4, 1, 16, 10, 15]	0.0038187503814697266
5	20	17	[20, 0, 5, 3, 4, 1, 16, 10, 15]	0.004262685775756836
5	25	17	[20, 0, 5, 3, 4, 1, 16, 10, 15]	0.0036172866821289062
5	1	31	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18]	0.007367849349975586
5	5	31	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18]	0.0074083805084228516
5	10	31	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18]	0.007394075393676758
5	15	10027	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18]	0.06450057029724121
5	20	10027	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18]	0.023439884185791016
5	25	10027	[15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6, 7, 18]	0.00796055793762207
6	1	26	[19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1]	0.0067462921142578125
6	5	26	[19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1]	0.005845785140991211
6	10	27	[19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1]	0.006868124008178711
6	15	27	[19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1]	0.00557398796081543
6	20	10038	[19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 9, 17, 2, 15, 10, 3, 4, 1]	0.009716272354125977
6	25	30	[19, 14, 22, 5, 0, 20, 13, 6, 7, 18, 3, 4, 1]	0.005592823028564453
6	1	36	[4, 3, 21, 12, 23, 11, 20, 0, 5, 22, 14, 19, 12, 15, 2, 17, 9, 18]	0.010394096374511719
6	5	52	[4, 3, 21, 12, 23, 11, 20, 0, 5, 22, 14, 19, 12, 15, 10, 16, 1, 4, 1, 4, 1, 4, 3, 18]	0.008467674255371094
6	10	54	[4, 3, 21, 12, 23, 11, 20, 0, 5, 22, 14, 19, 12, 15, 10, 16, 1, 16, 8, 22, 14, 16, 14, 19, 12]	0.009366035461425781
6	15	43	[4, 3, 21, 12, 23, 11, 20, 0, 5, 22, 14, 19, 14, 16, 10, 15, 2, 17, 9, 18]	0.010532855987548828
6	20	45	[4, 3, 21, 12, 23, 11, 20, 0, 5, 22, 14, 19, 12, 15, 10, 16, 1, 4, 3, 18]	0.01131749153137207
6	25	57	[4, 3, 21, 12, 23, 11, 20, 0, 5, 22, 14, 19, 12, 15, 10, 16, 1, 16, 8, 16, 1, 4, 1, 16, 14]	0.010652303695678711
6	1	11	[13, 6, 7, 18, 3, 4]	0.002775907516479492
6	5	11	[13, 6, 7, 18, 3, 4]	0.002626180648803711
6	10	12	[13, 6, 7, 18, 3, 4]	0.0026662349700927734
6	15	12	[13, 6, 7, 18, 3, 4]	0.0030341148376464844
6	20	12	[13, 6, 7, 18, 3, 4]	0.002684354782104492
6	25	13	[13, 6, 7, 18, 3, 4]	0.0030951499938964844
6	1	18	[9, 17, 2, 15, 10, 3, 18, 7, 6]	0.006028413772583008
6	5	34	[9, 17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6]	0.010442495346069336
6	10	36	[9, 17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6]	0.011797904968261719
6	15	36	[9, 17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6]	0.008504152297973633
6	20	37	[9, 17, 2, 15, 10, 3, 4, 1, 16, 8, 22, 5, 0, 20, 13, 6]	0.007393598556518555
6	25	42	[9, 17, 2, 15, 12, 21, 3, 4, 1, 16, 10, 16, 8, 22, 5, 0, 20, 13, 6]	0.007416963577270508
6	1	18	[17, 2, 15, 10, 16, 1, 4, 3, 21]	0.003801107406616211
