Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
5	1	11	[4, 7, 9, 7, 9, 2]	0.018009662628173828
5	5	7	[4, 7, 9, 2]	0.02356743812561035
5	10	7	[4, 7, 9, 2]	0.015426397323608398
5	15	7	[4, 7, 9, 2]	0.01315617561340332
5	20	7	[4, 7, 9, 2]	0.013772726058959961
5	25	7	[4, 7, 9, 2]	0.013250350952148438
5	1	9	[4, 7, 9, 0, 11]	0.02032303810119629
5	5	9	[4, 7, 9, 0, 11]	0.022694826126098633
5	10	9	[4, 7, 9, 0, 11]	0.025357723236083984
5	15	9	[4, 7, 9, 0, 11]	0.024785280227661133
5	20	9	[4, 7, 9, 0, 11]	0.022084474563598633
5	25	17	[4, 10, 6, 3, 2, 12, 0, 11]	0.043318986892700195
6	1	6	[6, 3, 2, 9]	0.02152705192565918
6	5	6	[6, 3, 2, 9]	0.028074026107788086
6	10	6	[6, 3, 2, 9]	0.025803804397583008
6	15	6	[6, 3, 2, 9]	0.03350687026977539
6	20	6	[6, 3, 2, 9]	0.020036935806274414
6	25	6	[6, 3, 2, 9]	0.0197906494140625
6	1	10	[12, 0, 11, 0, 9, 7]	0.03283190727233887
6	5	6	[12, 2, 9, 7]	0.03925466537475586
6	10	6	[12, 2, 9, 7]	0.027842998504638672
6	15	8	[12, 2, 9, 7]	0.025037288665771484
6	20	8	[12, 2, 9, 7]	0.02387714385986328
6	25	7	[12, 0, 9, 7]	0.02121901512145996
6	1	8	[1, 2, 9, 7, 4]	0.04300284385681152
6	5	11	[1, 8, 5, 9, 7, 4]	0.04342818260192871
6	10	10	[1, 2, 9, 7, 4]	0.0467686653137207
6	15	10	[1, 2, 9, 7, 4]	0.03918099403381348
6	20	10018	[1, 2, 12, 0, 11, 12, 2, 9, 7, 4]	0.03274178504943848
6	25	10005	[1, 2, 9, 7, 4]	0.028885364532470703
6	1	2	[7, 4]	0.015150785446166992
6	5	2	[7, 4]	0.020348548889160156
6	10	2	[7, 4]	0.016824960708618164
6	15	2	[7, 4]	0.015462875366210938
6	20	2	[7, 4]	0.01251530647277832
6	25	2	[7, 4]	0.012988567352294922
6	1	2	[9, 5]	0.010529041290283203
6	5	2	[9, 5]	0.011516094207763672
6	10	2	[9, 5]	0.010180234909057617
6	15	2	[9, 5]	0.008989810943603516
6	20	2	[9, 5]	0.010039329528808594
6	25	2	[9, 5]	0.007816314697265625
6	1	6	[3, 2, 9, 5]	0.027568578720092773
6	5	6	[3, 2, 9, 5]	0.02704644203186035
6	10	6	[3, 2, 9, 5]	0.02366805076599121
6	15	10	[3, 2, 1, 8, 5]	0.021633625030517578
6	20	6	[3, 2, 9, 5]	0.022825002670288086
6	25	6	[3, 2, 9, 5]	0.019995689392089844
6	1	2	[6, 3]	0.008445501327514648
6	5	2	[6, 3]	0.00882101058959961
6	10	2	[6, 3]	0.009424924850463867
6	15	2	[6, 3]	0.009711265563964844
6	20	2	[6, 3]	0.010309934616088867
6	25	2	[6, 3]	0.011279821395874023
6	1	8	[13, 0, 12, 2, 3]	0.038245201110839844
6	5	14	[13, 11, 0, 12, 0, 12, 2, 3]	0.0390620231628418
6	10	8	[13, 0, 12, 2, 3]	0.03306722640991211
6	15	10007	[13, 11, 12, 2, 3]	0.030449867248535156
6	20	10009	[13, 11, 0, 12, 2, 3]	0.03531241416931152
6	25	10007	[13, 11, 0, 9, 2, 3]	0.03717494010925293
6	1	8	[8, 1, 2, 3, 6]	0.05328798294067383
6	5	8	[8, 1, 2, 3, 6]	0.046616315841674805
6	10	26	[8, 5, 9, 5, 9, 7, 4, 7, 9, 7, 4, 10, 6]	0.045876264572143555
6	15	11	[8, 5, 9, 2, 3, 6]	0.0402224063873291
6	20	13	[8, 5, 9, 7, 4, 10, 6]	0.039397239685058594
6	25	11	[8, 5, 9, 2, 3, 6]	0.05001568794250488
6	1	4	[0, 12, 2]	0.01691913604736328
6	5	4	[0, 12, 2]	0.016939163208007812
6	10	4	[0, 12, 2]	0.02224564552307129
6	15	6	[0, 12, 2]	0.015506505966186523
6	20	6	[0, 12, 2]	0.018550395965576172
6	25	8	[0, 11, 0, 9, 2]	0.02366328239440918
6	1	8	[10, 4, 7, 9, 0]	0.029848814010620117
6	5	8	[10, 4, 7, 9, 0]	0.03182411193847656
6	10	8	[10, 4, 7, 9, 0]	0.027495861053466797
6	15	8	[10, 4, 7, 9, 0]	0.025851964950561523
6	20	8	[10, 4, 7, 9, 0]	0.028711318969726562
6	25	8	[10, 4, 7, 9, 0]	0.02579474449157715
6	1	3	[5, 9]	0.0036804676055908203
6	5	3	[5, 9]	0.0037772655487060547
6	10	29	[5, 8, 1, 2, 12, 2, 3, 6, 3, 2, 1, 2, 9]	0.00384521484375
6	15	3	[5, 9]	0.003987550735473633
6	20	3	[5, 9]	0.003169536590576172
6	25	3	[5, 9]	0.0029687881469726562
6	1	6	[8, 1, 2, 3]	0.026498794555664062
6	5	6	[8, 1, 2, 3]	0.028176307678222656
6	10	8	[8, 1, 2, 3]	0.028275012969970703
6	15	8	[8, 1, 2, 3]	0.027498483657836914
6	20	9	[8, 5, 9, 2, 3]	0.02593994140625
6	25	9	[8, 5, 9, 2, 3]	0.028745412826538086
6	1	7	[5, 9, 0, 13]	0.034799814224243164
6	5	7	[5, 9, 0, 13]	0.03582119941711426
6	10	7	[5, 9, 0, 13]	0.0337526798248291
6	15	15	[5, 8, 1, 2, 9, 0, 13]	0.029862165451049805
6	20	7	[5, 9, 0, 13]	0.029080629348754883
6	25	7	[5, 9, 0, 13]	0.030997037887573242
6	1	6	[13, 0, 9, 5]	0.02411627769470215
6	5	6	[13, 0, 9, 5]	0.023642301559448242
6	10	6	[13, 0, 9, 5]	0.022063255310058594
6	15	10005	[13, 11, 0, 9, 5]	0.02411818504333496
6	20	10003	[13, 0, 9, 5]	0.021712064743041992
6	25	10003	[13, 0, 9, 5]	0.01722884178161621
6	1	3	[5, 9]	0.002912282943725586
6	5	3	[5, 9]	0.0032939910888671875
6	10	3	[5, 9]	0.0031058788299560547
6	15	3	[5, 9]	0.0032460689544677734
6	20	3	[5, 9]	0.0025110244750976562
6	25	8	[5, 8, 5, 9]	0.0024871826171875
6	1	12	[6, 3, 2, 12, 2, 1, 8]	0.034331321716308594
6	5	8	[6, 3, 2, 1, 8]	0.035382747650146484
6	10	10	[6, 3, 2, 1, 8]	0.03875994682312012
6	15	10	[6, 3, 2, 1, 8]	0.04864954948425293
6	20	13	[6, 10, 4, 7, 9, 5, 8]	0.036208152770996094
6	25	13	[6, 10, 4, 7, 9, 5, 8]	0.03948235511779785
6	1	6	[1, 2, 9, 7]	0.02624964714050293
6	5	6	[1, 2, 9, 7]	0.02326655387878418
6	10	16	[1, 2, 3, 6, 3, 2, 9, 7]	0.02422475814819336
6	15	8	[1, 2, 9, 7]	0.022942543029785156
6	20	10003	[1, 2, 9, 7]	0.0209653377532959
6	25	10003	[1, 2, 9, 7]	0.032085418701171875
6	1	4	[9, 2, 3]	0.03235292434692383
6	5	4	[9, 2, 3]	0.025727510452270508
6	10	12	[9, 0, 11, 0, 12, 2, 3]	0.022066354751586914
6	15	4	[9, 2, 3]	0.023617029190063477
6	20	4	[9, 2, 3]	0.022003650665283203
6	25	4	[9, 2, 3]	0.028027772903442383
6	1	6	[3, 2, 12, 11]	0.0277864933013916
6	5	10	[3, 2, 3, 2, 12, 11]	0.022219419479370117
6	10	6	[3, 2, 12, 11]	0.023314952850341797
6	15	16	[3, 6, 10, 4, 7, 9, 2, 12, 11]	0.024771928787231445
6	20	6	[3, 2, 12, 11]	0.023328542709350586
6	25	7	[3, 2, 12, 11]	0.020385265350341797
7	1	7	[3, 2, 1, 8]	0.038762807846069336
7	5	7	[3, 2, 1, 8]	0.04202914237976074
7	10	7	[3, 2, 1, 8]	0.04109072685241699
7	15	7	[3, 2, 1, 8]	0.06264257431030273
7	20	7	[3, 2, 1, 8]	0.0449681282043457
7	25	7	[3, 2, 1, 8]	0.03922867774963379
7	1	7	[7, 9, 2, 12]	0.032900333404541016
7	5	17	[7, 4, 7, 9, 2, 9, 2, 12]	0.029137134552001953
7	10	7	[7, 9, 2, 12]	0.02540874481201172
7	15	13	[7, 4, 7, 9, 2, 12]	0.024979352951049805
7	20	7	[7, 9, 2, 12]	0.025307178497314453
7	25	7	[7, 9, 2, 12]	0.024903535842895508
7	1	5	[8, 5, 9]	0.012589454650878906
7	5	5	[8, 5, 9]	0.018403291702270508
7	10	5	[8, 5, 9]	0.011893272399902344
7	15	5	[8, 5, 9]	0.014548301696777344
7	20	5	[8, 5, 9]	0.014882326126098633
7	25	5	[8, 5, 9]	0.012862205505371094
7	1	17	[7, 9, 2, 9, 7, 4, 10, 6]	0.06578230857849121
7	5	9	[7, 9, 2, 3, 6]	0.05335068702697754
7	10	8	[7, 4, 10, 6]	0.05380892753601074
7	15	25	[7, 9, 5, 9, 5, 9, 2, 12, 2, 3, 6]	0.058423519134521484
7	20	13	[7, 4, 10, 4, 10, 6]	0.05271100997924805
7	25	18	[7, 9, 5, 9, 7, 4, 10, 6]	0.05571579933166504
7	1	6	[3, 2, 9, 5]	0.03278160095214844
7	5	6	[3, 2, 9, 5]	0.03931689262390137
7	10	6	[3, 2, 9, 5]	0.030947208404541016
7	15	6	[3, 2, 9, 5]	0.029042720794677734
7	20	6	[3, 2, 9, 5]	0.03462076187133789
7	25	6	[3, 2, 9, 5]	0.026994943618774414
7	1	7	[7, 9, 2, 1]	0.03716611862182617
7	5	7	[7, 9, 2, 1]	0.038910865783691406
7	10	10	[7, 9, 5, 8, 1]	0.0403895378112793
7	15	7	[7, 9, 2, 1]	0.03777885437011719
7	20	7	[7, 9, 2, 1]	0.03196430206298828
7	25	7	[7, 9, 2, 1]	0.03423142433166504
7	1	7	[12, 2, 9, 7]	0.034487247467041016
7	5	7	[12, 2, 9, 7]	0.03275918960571289
7	10	7	[12, 2, 9, 7]	0.029532670974731445
7	15	7	[12, 2, 9, 7]	0.028973817825317383
7	20	7	[12, 2, 9, 7]	0.02898240089416504
7	25	8	[12, 2, 9, 7]	0.028898000717163086
7	1	7	[0, 12, 2, 1]	0.03824877738952637
7	5	7	[0, 12, 2, 1]	0.03519868850708008
7	10	7	[0, 12, 2, 1]	0.040470123291015625
7	15	7	[0, 12, 2, 1]	0.036708831787109375
7	20	7	[0, 12, 2, 1]	0.03203892707824707
7	25	8	[0, 12, 2, 1]	0.03232622146606445
7	1	11	[11, 0, 12, 2, 3, 6]	0.06264758110046387
7	5	39	[11, 0, 11, 0, 9, 7, 9, 5, 8, 5, 9, 5, 9, 7, 4, 10, 6]	0.05614733695983887
7	10	12	[11, 0, 12, 2, 3, 6]	0.05637311935424805
7	15	12	[11, 0, 12, 2, 3, 6]	0.0645751953125
7	20	10	[11, 12, 2, 3, 6]	0.060288190841674805
7	25	13	[11, 0, 12, 2, 3, 6]	0.05199098587036133
7	1	4	[11, 0, 9]	0.018062353134155273
7	5	4	[11, 0, 9]	0.019235610961914062
7	10	4	[11, 0, 9]	0.0194551944732666
7	15	4	[11, 0, 9]	0.019328832626342773
7	20	4	[11, 0, 9]	0.01787424087524414
7	25	4	[11, 0, 9]	0.017128467559814453
7	1	5	[1, 2, 3]	0.023031234741210938
7	5	5	[1, 2, 3]	0.025174617767333984
