Num of Nodes	BW	Num of Hops	Path	Execution Time (seconds)
5	1	16	[23, 12, 21, 3, 21, 3, 10, 16]	0.04201960563659668
5	5	12	[23, 11, 23, 12, 19, 14, 16]	0.04378175735473633
5	10	14	[23, 11, 23, 11, 18, 3, 10, 16]	0.04107213020324707
5	15	30	[23, 11, 23, 12, 21, 3, 4, 1, 4, 3, 5, 3, 10, 16]	0.04822349548339844
5	20	19	[23, 11, 23, 11, 18, 9, 18, 3, 10, 16]	0.04410099983215332
5	25	32	[23, 11, 20, 13, 20, 0, 20, 13, 6, 13, 20, 11, 18, 3, 10, 16]	0.04094099998474121
5	1	2	[10, 16]	0.011441469192504883
5	5	2	[10, 16]	0.010943412780761719
5	10	2	[10, 16]	0.011583566665649414
5	15	2	[10, 16]	0.011465072631835938
5	20	2	[10, 16]	0.013795614242553711
5	25	2	[10, 16]	0.011352777481079102
5	1	24	[20, 0, 5, 0, 5, 3, 18, 9, 17, 2, 17, 2, 15]	0.04417133331298828
5	5	18	[20, 13, 20, 0, 5, 3, 18, 3, 10, 15]	0.04614877700805664
5	10	25	[20, 11, 23, 11, 18, 3, 5, 0, 5, 3, 21, 12, 15]	0.04255533218383789
5	15	26	[20, 13, 6, 7, 6, 13, 20, 0, 5, 3, 21, 12, 15]	0.043005943298339844
5	20	16	[20, 13, 20, 11, 23, 11, 23, 12, 15]	0.041379690170288086
5	25	11	[20, 0, 5, 3, 10, 15]	0.04002523422241211
5	1	10	[15, 12, 15, 10, 3, 18]	0.024074792861938477
5	5	6	[15, 10, 3, 18]	0.025702238082885742
5	10	6	[15, 10, 3, 18]	0.024836063385009766
5	15	6	[15, 10, 3, 18]	0.022491931915283203
5	20	6	[15, 10, 3, 18]	0.022356510162353516
5	25	6	[15, 10, 3, 18]	0.020994901657104492
6	1	11	[19, 12, 21, 3, 4, 1]	0.05194902420043945
6	5	11	[19, 12, 21, 3, 4, 1]	0.049616336822509766
6	10	6	[19, 14, 16, 1]	0.05200552940368652
6	15	19	[19, 12, 21, 3, 21, 12, 21, 3, 4, 1]	0.044960975646972656
6	20	11	[19, 12, 15, 10, 16, 1]	0.04517054557800293
6	25	11	[19, 12, 21, 3, 4, 1]	0.04535222053527832
6	1	5	[4, 3, 18]	0.018706798553466797
6	5	5	[4, 3, 18]	0.01870584487915039
6	10	5	[4, 3, 18]	0.016209840774536133
6	15	5	[4, 3, 18]	0.01749134063720703
6	20	5	[4, 3, 18]	0.015984296798706055
6	25	5	[4, 3, 18]	0.016123056411743164
