PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
9	0	11	14.0	1.0	8	[000003, 000002, 000001, 000000, 000007, 000004, 000008, 000006]
9	0	11	14.0	2.0	8	[000003, 000002, 000001, 000000, 000007, 000008, 000004, 000006]
9	0	11	14.0	2.0	9	[000003, 000002, 000001, 000000, 000007, 000008, 000005, 000004, 000006]
9	0	11	14.0	2.0	7	[000003, 000002, 000001, 000000, 000007, 000008, 000006]
9	0	11	14.0	2.0	8	[000003, 000002, 000001, 000004, 000000, 000005, 000008, 000006]
9	0	11	14.0	2.0	6	[000003, 000002, 000001, 000004, 000000, 000006]
9	0	11	14.0	2.0	8	[000003, 000002, 000001, 000004, 000000, 000007, 000008, 000006]
9	0	11	31.0	2.0	7	[000003, 000002, 000001, 000004, 000005, 000000, 000006]
9	0	11	14.0	2.0	9	[000003, 000002, 000001, 000004, 000005, 000000, 000007, 000008, 000006]
9	0	11	29.0	2.0	7	[000003, 000002, 000001, 000004, 000005, 000008, 000006]
9	0	11	14.0	2.0	9	[000003, 000002, 000001, 000004, 000005, 000008, 000007, 000000, 000006]
9	0	11	31.0	2.0	5	[000003, 000002, 000001, 000004, 000006]
