PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
9	0	11	14.0	1.0	3	[000003, 000000, 000005]
9	0	11	8.0	1.0	5	[000003, 000002, 000004, 000001, 000005]
9	0	11	20.0	1.0	5	[000003, 000002, 000004, 000006, 000005]
9	0	11	26.0	1.0	3	[000003, 000002, 000005]
9	0	11	8.0	1.0	5	[000003, 000006, 000004, 000001, 000005]
9	0	11	20.0	1.0	5	[000003, 000006, 000004, 000002, 000005]
9	0	11	30.0	4.0	3	[000003, 000006, 000005]
9	0	12	8.0	1.0	6	[000003, 000000, 000005, 000001, 000004, 000006]
9	0	12	14.0	1.0	6	[000003, 000000, 000005, 000002, 000004, 000006]
9	0	12	14.0	1.0	4	[000003, 000000, 000005, 000006]
9	0	12	8.0	1.0	6	[000003, 000002, 000004, 000001, 000005, 000006]
9	0	12	20.0	1.0	4	[000003, 000002, 000004, 000006]
9	0	12	8.0	1.0	6	[000003, 000002, 000005, 000001, 000004, 000006]
9	0	12	26.0	1.0	4	[000003, 000002, 000005, 000006]
9	0	12	54.0	4.0	2	[000003, 000006]
9	0	13	8.0	1.0	5	[000003, 000000, 000005, 000001, 000004]
9	0	13	14.0	1.0	5	[000003, 000000, 000005, 000002, 000004]
9	0	13	14.0	1.0	5	[000003, 000000, 000005, 000006, 000004]
9	0	13	32.0	1.0	3	[000003, 000002, 000004]
9	0	13	8.0	1.0	5	[000003, 000002, 000005, 000001, 000004]
9	0	13	20.0	1.0	5	[000003, 000002, 000005, 000006, 000004]
9	0	13	20.0	1.0	3	[000003, 000006, 000004]
9	0	13	8.0	1.0	5	[000003, 000006, 000005, 000001, 000004]
9	0	13	26.0	1.0	5	[000003, 000006, 000005, 000002, 000004]
11	0	12	14.0	1.0	6	[000005, 000000, 000003, 000002, 000004, 000006]
11	0	12	14.0	1.0	4	[000005, 000000, 000003, 000006]
11	0	12	8.0	1.0	6	[000005, 000001, 000004, 000002, 000003, 000006]
11	0	12	8.0	1.0	4	[000005, 000001, 000004, 000006]
11	0	12	26.0	1.0	4	[000005, 000002, 000003, 000006]
11	0	12	20.0	1.0	4	[000005, 000002, 000004, 000006]
11	0	12	30.0	4.0	2	[000005, 000006]
11	0	13	14.0	1.0	5	[000005, 000000, 000003, 000002, 000004]
11	0	13	14.0	1.0	5	[000005, 000000, 000003, 000006, 000004]
11	0	13	8.0	1.0	3	[000005, 000001, 000004]
11	0	13	20.0	1.0	5	[000005, 000002, 000003, 000006, 000004]
11	0	13	26.0	1.0	3	[000005, 000002, 000004]
11	0	13	30.0	1.0	5	[000005, 000006, 000003, 000002, 000004]
11	0	13	20.0	1.0	3	[000005, 000006, 000004]
12	0	13	8.0	1.0	6	[000006, 000003, 000000, 000005, 000001, 000004]
12	0	13	14.0	1.0	6	[000006, 000003, 000000, 000005, 000002, 000004]
12	0	13	32.0	1.0	4	[000006, 000003, 000002, 000004]
12	0	13	8.0	1.0	6	[000006, 000003, 000002, 000005, 000001, 000004]
12	0	13	20.0	1.0	2	[000006, 000004]
12	0	13	14.0	1.0	6	[000006, 000005, 000000, 000003, 000002, 000004]
12	0	13	8.0	1.0	4	[000006, 000005, 000001, 000004]
12	0	13	26.0	1.0	4	[000006, 000005, 000002, 000004]
2	1	8	38.0	3.0	5	[001003, 001001, 001000, 001002, 001005]
2	1	8	15.0	2.0	5	[001003, 001001, 001000, 001004, 001005]
2	1	8	21.0	2.0	4	[001003, 001001, 001000, 001005]
2	1	8	15.0	1.0	5	[001003, 001004, 001000, 001002, 001005]
2	1	8	15.0	1.0	4	[001003, 001004, 001000, 001005]
2	1	8	40.0	1.0	3	[001003, 001004, 001005]
2	1	8	27.0	2.0	6	[001003, 001006, 001001, 001000, 001002, 001005]
2	1	8	15.0	2.0	6	[001003, 001006, 001001, 001000, 001004, 001005]
2	1	8	21.0	2.0	5	[001003, 001006, 001001, 001000, 001005]
1	2	3	45.0	5.0	3	[002006, 002001, 002003]
1	2	3	32.0	1.0	6	[002006, 002001, 002004, 002000, 002002, 002003]
1	2	3	22.0	1.0	7	[002006, 002001, 002004, 002000, 002005, 002002, 002003]
1	2	3	32.0	2.0	5	[002006, 002001, 002004, 002002, 002003]
1	2	3	8.0	2.0	4	[002006, 002001, 002004, 002003]
1	2	3	32.0	1.0	6	[002006, 002002, 002000, 002004, 002001, 002003]
1	2	3	8.0	1.0	5	[002006, 002002, 002000, 002004, 002003]
1	2	3	33.0	2.0	3	[002006, 002002, 002003]
1	2	3	32.0	2.0	5	[002006, 002002, 002004, 002001, 002003]
1	2	3	8.0	2.0	4	[002006, 002002, 002004, 002003]
1	2	3	22.0	1.0	7	[002006, 002002, 002005, 002000, 002004, 002001, 002003]
1	2	3	8.0	1.0	6	[002006, 002002, 002005, 002000, 002004, 002003]
1	2	3	7.0	5.0	2	[002006, 002003]
1	2	3	60.0	1.0	5	[002006, 002004, 002000, 002002, 002003]
1	2	3	22.0	1.0	6	[002006, 002004, 002000, 002005, 002002, 002003]
1	2	3	32.0	2.0	4	[002006, 002004, 002001, 002003]
