PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
9	0	11	35.0	1.0	5	[000004, 000000, 000001, 000003, 000005]
9	0	11	48.0	1.0	4	[000004, 000000, 000001, 000005]
9	0	11	7.0	1.0	5	[000004, 000000, 000003, 000001, 000005]
9	0	11	7.0	1.0	4	[000004, 000000, 000003, 000005]
9	0	11	43.0	3.0	3	[000004, 000000, 000005]
9	0	11	7.0	1.0	5	[000004, 000001, 000000, 000003, 000005]
9	0	11	9.0	1.0	4	[000004, 000001, 000000, 000005]
9	0	11	7.0	1.0	5	[000004, 000001, 000003, 000000, 000005]
9	0	11	9.0	1.0	4	[000004, 000001, 000003, 000005]
9	0	11	9.0	1.0	3	[000004, 000001, 000005]
9	0	11	74.0	3.0	3	[000004, 000002, 000005]
9	0	11	7.0	1.0	5	[000004, 000003, 000000, 000001, 000005]
9	0	11	7.0	1.0	4	[000004, 000003, 000000, 000005]
9	0	11	16.0	1.0	5	[000004, 000003, 000001, 000000, 000005]
9	0	11	16.0	2.0	4	[000004, 000003, 000001, 000005]
9	0	11	16.0	2.0	3	[000004, 000003, 000005]
9	0	11	31.0	1.0	2	[000004, 000005]
9	0	12	48.0	1.0	3	[000004, 000000, 000001]
9	0	12	7.0	1.0	4	[000004, 000000, 000003, 000001]
9	0	12	7.0	1.0	5	[000004, 000000, 000003, 000005, 000001]
9	0	12	43.0	2.0	4	[000004, 000000, 000005, 000001]
9	0	12	35.0	2.0	5	[000004, 000000, 000005, 000003, 000001]
9	0	12	9.0	1.0	2	[000004, 000001]
9	0	12	43.0	1.0	5	[000004, 000002, 000005, 000000, 000001]
9	0	12	7.0	1.0	6	[000004, 000002, 000005, 000000, 000003, 000001]
9	0	12	71.0	2.0	4	[000004, 000002, 000005, 000001]
9	0	12	7.0	1.0	6	[000004, 000002, 000005, 000003, 000000, 000001]
9	0	12	35.0	2.0	5	[000004, 000002, 000005, 000003, 000001]
9	0	12	7.0	1.0	4	[000004, 000003, 000000, 000001]
9	0	12	7.0	1.0	5	[000004, 000003, 000000, 000005, 000001]
9	0	12	16.0	3.0	3	[000004, 000003, 000001]
9	0	12	16.0	1.0	5	[000004, 000003, 000005, 000000, 000001]
9	0	12	16.0	2.0	4	[000004, 000003, 000005, 000001]
9	0	12	31.0	1.0	4	[000004, 000005, 000000, 000001]
9	0	12	7.0	1.0	5	[000004, 000005, 000000, 000003, 000001]
9	0	12	31.0	1.0	3	[000004, 000005, 000001]
9	0	12	7.0	1.0	5	[000004, 000005, 000003, 000000, 000001]
9	0	12	31.0	1.0	4	[000004, 000005, 000003, 000001]
9	0	13	72.0	3.0	2	[000004, 000000]
9	0	13	9.0	1.0	3	[000004, 000001, 000000]
9	0	13	7.0	1.0	4	[000004, 000001, 000003, 000000]
9	0	13	9.0	1.0	5	[000004, 000001, 000003, 000005, 000000]
9	0	13	9.0	1.0	4	[000004, 000001, 000005, 000000]
9	0	13	7.0	1.0	5	[000004, 000001, 000005, 000003, 000000]
9	0	13	43.0	3.0	4	[000004, 000002, 000005, 000000]
9	0	13	48.0	1.0	5	[000004, 000002, 000005, 000001, 000000]
9	0	13	7.0	1.0	6	[000004, 000002, 000005, 000001, 000003, 000000]
9	0	13	7.0	1.0	5	[000004, 000002, 000005, 000003, 000000]
