PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
9	0	11	19.0	1.0	4	[000002, 000000, 000003, 000001]
9	0	11	32.0	1.0	2	[000002, 000001]
9	0	11	42.0	1.0	3	[000002, 000003, 000001]
9	0	11	12.0	1.0	5	[000002, 000004, 000000, 000003, 000001]
9	0	12	19.0	4.0	3	[000002, 000000, 000003]
9	0	12	32.0	1.0	3	[000002, 000001, 000003]
9	0	12	42.0	3.0	2	[000002, 000003]
9	0	12	12.0	4.0	4	[000002, 000004, 000000, 000003]
9	0	13	12.0	4.0	3	[000002, 000000, 000004]
9	0	13	12.0	1.0	5	[000002, 000001, 000003, 000000, 000004]
9	0	13	12.0	3.0	4	[000002, 000003, 000000, 000004]
9	0	13	68.0	5.0	2	[000002, 000004]
11	0	12	19.0	1.0	4	[000001, 000002, 000000, 000003]
11	0	12	32.0	1.0	3	[000001, 000002, 000003]
11	0	12	12.0	1.0	5	[000001, 000002, 000004, 000000, 000003]
11	0	12	59.0	1.0	2	[000001, 000003]
11	0	13	12.0	1.0	4	[000001, 000002, 000000, 000004]
11	0	13	12.0	1.0	5	[000001, 000002, 000003, 000000, 000004]
11	0	13	32.0	1.0	3	[000001, 000002, 000004]
11	0	13	19.0	1.0	5	[000001, 000003, 000000, 000002, 000004]
11	0	13	12.0	1.0	4	[000001, 000003, 000000, 000004]
11	0	13	12.0	1.0	5	[000001, 000003, 000002, 000000, 000004]
11	0	13	42.0	1.0	4	[000001, 000003, 000002, 000004]
12	0	13	19.0	4.0	4	[000003, 000000, 000002, 000004]
12	0	13	12.0	4.0	3	[000003, 000000, 000004]
12	0	13	12.0	1.0	5	[000003, 000001, 000002, 000000, 000004]
12	0	13	32.0	1.0	4	[000003, 000001, 000002, 000004]
12	0	13	12.0	3.0	4	[000003, 000002, 000000, 000004]
12	0	13	42.0	3.0	3	[000003, 000002, 000004]
2	1	8	47.0	1.0	5	[001000, 001001, 001002, 001003, 001004]
2	1	8	41.0	1.0	4	[001000, 001001, 001002, 001004]
2	1	8	47.0	1.0	4	[001000, 001002, 001003, 001004]
2	1	8	41.0	1.0	3	[001000, 001002, 001004]
2	1	8	41.0	1.0	4	[001000, 001003, 001002, 001004]
2	1	8	53.0	4.0	3	[001000, 001003, 001004]
2	1	8	36.0	4.0	2	[001000, 001004]
1	2	3	11.0	5.0	2	[002000, 002001]
1	2	3	24.0	1.0	3	[002000, 002002, 002001]
1	2	3	7.0	1.0	5	[002000, 002002, 002003, 002004, 002001]
1	2	3	24.0	4.0	4	[002000, 002002, 002004, 002001]
1	2	3	7.0	1.0	4	[002000, 002003, 002002, 002001]
1	2	3	7.0	1.0	5	[002000, 002003, 002002, 002004, 002001]
1	2	3	55.0	1.0	4	[002000, 002003, 002004, 002001]
1	2	3	26.0	1.0	5	[002000, 002003, 002004, 002002, 002001]
1	2	3	11.0	4.0	3	[002000, 002004, 002001]
1	2	3	11.0	1.0	4	[002000, 002004, 002002, 002001]
1	2	3	7.0	1.0	5	[002000, 002004, 002003, 002002, 002001]
1	2	9	7.0	1.0	4	[002000, 002001, 002002, 002003]
